Date,Product,Category,Region,Sales Channel,Customer Segment,Quantity Sold,Unit Price,Total Sales
2023-05-26,Smartwatch,Wearables,South America,Direct Sales,Enterprise,71,797.89,56650.19
2023-11-13,Desktop,Wearables,Oceania,Marketplace,Small Business,2,1713.38,3426.76
2023-04-21,Smartwatch,Wearables,North America,Direct Sales,Corporate,17,2229.0,37893.0
2023-12-01,Laptop,Mobile,North America,Online,Small Business,75,1702.69,127701.75
2024-02-22,Smartwatch,Mobile,Asia,Marketplace,Small Business,76,2078.14,157938.63999999998
2022-07-09,Desktop,Electronics,Africa,Online,Home Office,3,1381.72,4145.16
2024-08-15,Smartwatch,Accessories,Oceania,Marketplace,Home Office,21,218.86,4596.06
2023-11-18,Tablet,Accessories,North America,Marketplace,Corporate,78,296.14,23098.92
2024-08-15,Tablet,Computers,North America,Online,Small Business,79,1408.26,111252.54
2023-07-17,Desktop,Mobile,Oceania,Online,Home Office,51,853.11,43508.61
2024-05-25,Laptop,Wearables,Europe,Marketplace,Enterprise,10,590.39,5903.9
2023-07-21,Laptop,Wearables,Oceania,Marketplace,Enterprise,55,1192.33,65578.15
2022-09-01,Smartphone,Computers,North America,Online,Enterprise,36,1682.92,60585.12
2024-04-11,Desktop,Accessories,Africa,Online,Enterprise,51,993.23,50654.73
2023-05-20,Smartwatch,Wearables,Europe,Retail Store,Small Business,74,2016.23,149201.02
2022-05-11,Desktop,Accessories,South America,Retail Store,Enterprise,17,1859.38,31609.460000000003
2023-04-30,Smartphone,Computers,Oceania,Retail Store,Small Business,89,1850.54,164698.06
2024-03-29,Desktop,Accessories,South America,Direct Sales,Corporate,61,2463.71,150286.31
2023-10-09,Desktop,Accessories,Europe,Marketplace,Corporate,91,773.31,70371.20999999999
2022-01-21,Smartphone,Accessories,Europe,Wholesale,Enterprise,97,1629.58,158069.25999999998
2024-04-20,Laptop,Wearables,Europe,Direct Sales,Enterprise,75,2145.92,160944.0
2022-06-16,Smartwatch,Electronics,Asia,Marketplace,Enterprise,13,1469.83,19107.79
2022-10-01,Smartphone,Mobile,Oceania,Wholesale,Corporate,65,1984.28,128978.2
2023-01-23,Tablet,Accessories,Africa,Retail Store,Home Office,95,1065.41,101213.95000000001
2023-08-24,Laptop,Accessories,Africa,Wholesale,Corporate,97,1496.7,145179.9
2022-11-12,Tablet,Accessories,South America,Online,Enterprise,85,186.38,15842.3
2022-01-14,Laptop,Electronics,South America,Online,Home Office,80,2465.13,197210.40000000002
2022-08-30,Smartwatch,Computers,South America,Marketplace,Home Office,87,2010.05,174874.35
2024-02-16,Smartwatch,Wearables,Oceania,Direct Sales,Consumer,74,2178.58,161214.91999999998
2022-12-12,Desktop,Electronics,North America,Retail Store,Small Business,48,1751.02,84048.95999999999
2023-07-19,Tablet,Accessories,South America,Marketplace,Enterprise,97,505.82,49064.54
2024-06-16,Laptop,Electronics,Europe,Retail Store,Small Business,86,126.02,10837.72
2022-12-06,Smartwatch,Electronics,South America,Online,Consumer,70,2168.41,151788.69999999998
2022-04-02,Smartphone,Electronics,Europe,Direct Sales,Small Business,47,1021.01,47987.47
2023-01-02,Smartwatch,Computers,Asia,Direct Sales,Enterprise,10,696.47,6964.700000000001
2024-08-13,Smartphone,Mobile,North America,Online,Consumer,57,1426.1,81287.7
2023-03-31,Laptop,Wearables,North America,Wholesale,Small Business,80,1081.2,86496.0
2023-03-04,Smartwatch,Computers,Oceania,Direct Sales,Corporate,13,1646.58,21405.54
2023-05-24,Smartwatch,Computers,Oceania,Wholesale,Home Office,61,1235.29,75352.69
2024-02-15,Laptop,Mobile,Africa,Retail Store,Consumer,58,1758.22,101976.76
2024-07-31,Smartwatch,Computers,Asia,Direct Sales,Corporate,84,2140.89,179834.75999999998
2022-02-04,Smartphone,Electronics,Oceania,Online,Enterprise,68,529.11,35979.48
2022-07-25,Smartwatch,Electronics,Europe,Wholesale,Home Office,84,857.11,71997.24
2022-03-22,Tablet,Accessories,Asia,Retail Store,Consumer,86,1120.2,96337.2
2024-07-20,Desktop,Computers,North America,Retail Store,Home Office,29,2407.04,69804.16
2023-07-16,Smartphone,Accessories,Europe,Direct Sales,Consumer,16,945.07,15121.12
2024-05-21,Tablet,Wearables,Asia,Direct Sales,Consumer,63,983.69,61972.47
2023-01-23,Laptop,Electronics,North America,Marketplace,Small Business,47,1651.01,77597.47
2022-01-02,Smartphone,Wearables,Oceania,Marketplace,Home Office,43,1077.04,46312.72
2023-01-25,Desktop,Mobile,Europe,Direct Sales,Home Office,23,2380.5,54751.5
2023-07-20,Desktop,Electronics,Europe,Marketplace,Corporate,30,2241.45,67243.5
2022-04-16,Laptop,Wearables,North America,Online,Enterprise,57,1307.85,74547.45
2024-02-11,Laptop,Mobile,Europe,Online,Corporate,30,1629.7,48891.0
2024-04-01,Smartphone,Wearables,Oceania,Marketplace,Small Business,67,192.17,12875.39
2023-04-22,Smartwatch,Mobile,Oceania,Direct Sales,Consumer,56,1754.54,98254.23999999999
2023-12-04,Laptop,Mobile,Oceania,Online,Small Business,24,1782.64,42783.36
2023-02-06,Smartwatch,Electronics,North America,Retail Store,Small Business,77,930.04,71613.08
2023-12-31,Tablet,Accessories,South America,Direct Sales,Corporate,96,588.22,56469.12
2023-07-10,Desktop,Mobile,South America,Wholesale,Consumer,76,2291.94,174187.44
2022-06-11,Smartwatch,Mobile,Europe,Wholesale,Enterprise,8,1095.43,8763.44
2022-07-21,Desktop,Electronics,Oceania,Direct Sales,Small Business,88,1651.58,145339.03999999998
2024-08-15,Smartwatch,Accessories,Europe,Marketplace,Enterprise,44,131.66,5793.04
2022-09-27,Tablet,Computers,North America,Online,Consumer,80,1064.46,85156.8
2024-05-12,Laptop,Computers,Europe,Online,Consumer,96,2052.28,197018.88
2024-03-26,Tablet,Accessories,Africa,Direct Sales,Corporate,34,999.56,33985.04
2022-09-28,Laptop,Wearables,South America,Retail Store,Home Office,35,1527.74,53470.9
2023-04-01,Laptop,Electronics,Europe,Marketplace,Corporate,96,564.15,54158.399999999994
2023-04-07,Desktop,Accessories,Europe,Retail Store,Enterprise,50,1070.49,53524.5
2023-12-28,Tablet,Computers,Asia,Direct Sales,Corporate,17,2322.71,39486.07
2022-09-09,Smartwatch,Mobile,Europe,Direct Sales,Consumer,2,1437.81,2875.62
2023-12-03,Tablet,Computers,Africa,Retail Store,Small Business,90,2259.73,203375.7
2022-10-23,Desktop,Mobile,South America,Wholesale,Home Office,54,2259.95,122037.29999999999
2023-12-26,Laptop,Electronics,Asia,Direct Sales,Consumer,44,2363.16,103979.04
2023-12-21,Desktop,Mobile,North America,Marketplace,Small Business,81,2243.71,181740.51
2024-01-19,Smartphone,Accessories,North America,Retail Store,Enterprise,49,58.04,2843.96
2022-12-04,Smartphone,Mobile,South America,Wholesale,Enterprise,2,2338.34,4676.68
2024-05-28,Smartwatch,Wearables,North America,Retail Store,Enterprise,72,386.78,27848.159999999996
2022-02-22,Desktop,Accessories,Africa,Wholesale,Corporate,70,147.82,10347.4
2024-03-02,Smartwatch,Electronics,Europe,Wholesale,Enterprise,9,185.7,1671.3
2024-07-10,Smartwatch,Accessories,South America,Marketplace,Enterprise,1,904.84,904.84
2022-08-05,Smartphone,Wearables,Asia,Direct Sales,Corporate,69,1570.97,108396.93000000001
2024-02-03,Smartwatch,Electronics,Europe,Wholesale,Small Business,9,1035.66,9320.94
2022-07-07,Smartphone,Computers,North America,Direct Sales,Consumer,14,112.61,1576.54
2023-01-15,Laptop,Wearables,North America,Marketplace,Home Office,27,1217.38,32869.26
2023-05-08,Desktop,Electronics,Asia,Direct Sales,Enterprise,9,1133.22,10198.98
2022-02-10,Smartwatch,Mobile,Africa,Online,Enterprise,36,1904.28,68554.08
2022-06-06,Smartphone,Accessories,Asia,Wholesale,Enterprise,93,735.05,68359.65
2022-01-15,Tablet,Electronics,South America,Marketplace,Corporate,84,582.95,48967.8
2024-03-23,Smartwatch,Accessories,Asia,Retail Store,Corporate,79,677.05,53486.95
2022-03-06,Laptop,Mobile,North America,Marketplace,Corporate,3,794.16,2382.48
2024-05-06,Laptop,Electronics,Africa,Wholesale,Home Office,23,1517.95,34912.85
2024-04-18,Tablet,Computers,Africa,Marketplace,Consumer,73,1205.24,87982.52
2023-06-05,Smartphone,Wearables,Oceania,Retail Store,Enterprise,30,875.39,26261.7
2022-12-10,Smartwatch,Electronics,Asia,Online,Small Business,19,967.07,18374.33
2022-05-09,Smartphone,Mobile,South America,Wholesale,Enterprise,67,958.76,64236.92
2023-10-10,Laptop,Electronics,North America,Wholesale,Enterprise,50,2432.4,121620.0
2023-04-17,Smartphone,Accessories,Europe,Marketplace,Enterprise,48,620.84,29800.32
2022-03-04,Laptop,Electronics,Africa,Direct Sales,Enterprise,3,2054.25,6162.75
2022-05-19,Smartphone,Computers,Asia,Direct Sales,Consumer,98,1785.12,174941.75999999998
2023-05-14,Tablet,Electronics,Oceania,Retail Store,Small Business,66,63.65,4200.9
2023-08-16,Desktop,Wearables,South America,Online,Corporate,27,2483.28,67048.56000000001
2023-01-27,Tablet,Electronics,South America,Online,Small Business,87,1903.28,165585.36
2023-11-06,Tablet,Accessories,North America,Marketplace,Enterprise,96,1722.0,165312.0
2023-02-23,Desktop,Electronics,Africa,Marketplace,Small Business,99,1043.05,103261.95
2022-10-16,Desktop,Computers,North America,Direct Sales,Enterprise,40,1410.25,56410.0
2023-01-14,Smartwatch,Mobile,Oceania,Online,Small Business,18,670.51,12069.18
2024-02-12,Smartwatch,Electronics,Europe,Online,Home Office,27,136.93,3697.11
2023-05-05,Tablet,Electronics,Europe,Online,Small Business,11,2098.25,23080.75
2022-08-19,Tablet,Wearables,Europe,Retail Store,Corporate,39,2246.39,87609.20999999999
2022-02-10,Laptop,Computers,South America,Retail Store,Corporate,19,448.05,8512.95
2022-01-28,Laptop,Mobile,Africa,Marketplace,Small Business,89,1978.29,176067.81
2022-05-15,Smartwatch,Accessories,North America,Direct Sales,Small Business,7,1865.82,13060.74
2022-07-20,Smartwatch,Electronics,North America,Wholesale,Consumer,95,487.02,46266.9
2024-04-19,Laptop,Mobile,Oceania,Direct Sales,Small Business,57,1083.48,61758.36
2024-02-19,Laptop,Accessories,Europe,Retail Store,Corporate,2,1085.76,2171.52
2024-07-18,Smartphone,Computers,Africa,Retail Store,Home Office,38,1911.91,72652.58
2022-02-02,Smartphone,Computers,Africa,Marketplace,Corporate,5,2102.27,10511.35
2022-02-17,Laptop,Mobile,Oceania,Wholesale,Consumer,78,282.2,22011.6
2023-05-18,Smartphone,Accessories,Asia,Online,Small Business,82,1429.27,117200.14
2023-02-11,Desktop,Computers,Africa,Wholesale,Home Office,36,1916.28,68986.08
2023-07-28,Smartwatch,Mobile,Africa,Wholesale,Corporate,68,1976.17,134379.56
2023-12-29,Smartwatch,Computers,North America,Wholesale,Home Office,88,412.58,36307.04
2024-03-15,Laptop,Computers,Oceania,Marketplace,Enterprise,77,1337.49,102986.73
2022-04-09,Tablet,Computers,Africa,Retail Store,Corporate,85,2151.02,182836.7
2023-11-15,Laptop,Wearables,Africa,Online,Enterprise,57,830.37,47331.090000000004
2024-05-21,Smartphone,Accessories,North America,Wholesale,Home Office,97,1091.54,105879.37999999999
2023-12-27,Tablet,Mobile,Africa,Online,Small Business,20,2020.68,40413.6
2023-07-01,Smartphone,Mobile,North America,Wholesale,Small Business,5,268.83,1344.1499999999999
2024-08-18,Desktop,Accessories,Asia,Retail Store,Small Business,24,2155.76,51738.240000000005
2024-01-09,Smartphone,Accessories,South America,Online,Enterprise,99,812.33,80420.67
2023-09-05,Desktop,Accessories,North America,Direct Sales,Small Business,30,53.55,1606.5
2024-07-31,Desktop,Accessories,North America,Retail Store,Consumer,28,623.69,17463.32
2023-04-07,Smartphone,Electronics,Africa,Online,Corporate,53,269.28,14271.839999999998
2023-10-05,Smartphone,Mobile,North America,Wholesale,Corporate,51,276.34,14093.339999999998
2024-02-08,Desktop,Electronics,Oceania,Wholesale,Home Office,7,1747.45,12232.15
2022-01-05,Tablet,Computers,Europe,Retail Store,Enterprise,42,574.24,24118.08
2022-08-06,Desktop,Computers,Europe,Retail Store,Corporate,35,2340.12,81904.2
2023-05-18,Smartwatch,Mobile,Asia,Wholesale,Enterprise,94,1315.29,123637.26
2024-02-06,Desktop,Computers,North America,Online,Home Office,34,1177.24,40026.16
2023-02-02,Tablet,Accessories,Oceania,Direct Sales,Small Business,73,1113.99,81321.27
2024-05-20,Smartwatch,Electronics,Africa,Marketplace,Home Office,76,1746.84,132759.84
2024-03-05,Laptop,Accessories,Africa,Retail Store,Consumer,54,1158.04,62534.159999999996
2023-01-28,Laptop,Computers,South America,Wholesale,Small Business,29,365.07,10587.03
2022-07-26,Tablet,Electronics,Asia,Online,Small Business,10,2206.42,22064.2
2022-01-15,Desktop,Accessories,Oceania,Retail Store,Small Business,27,1099.57,29688.39
2024-05-07,Smartphone,Mobile,Oceania,Online,Home Office,83,231.31,19198.73
2023-07-08,Tablet,Accessories,Africa,Retail Store,Consumer,13,1346.95,17510.350000000002
2024-06-10,Smartwatch,Computers,South America,Wholesale,Enterprise,42,1636.0,68712.0
2023-04-06,Smartwatch,Electronics,Africa,Online,Home Office,37,725.18,26831.66
2023-11-22,Laptop,Mobile,South America,Wholesale,Corporate,61,2010.83,122660.62999999999
2023-07-29,Smartwatch,Electronics,Europe,Online,Corporate,96,1690.95,162331.2
2024-05-13,Tablet,Mobile,Oceania,Retail Store,Home Office,79,1643.34,129823.86
2024-01-13,Smartwatch,Electronics,Europe,Marketplace,Enterprise,21,1081.02,22701.42
2022-08-29,Tablet,Computers,Africa,Marketplace,Corporate,3,2406.69,7220.07
2023-07-18,Smartphone,Mobile,Asia,Direct Sales,Enterprise,8,721.76,5774.08
2022-04-06,Laptop,Wearables,North America,Direct Sales,Small Business,70,1465.38,102576.6
2024-06-18,Smartwatch,Electronics,Asia,Wholesale,Home Office,93,807.19,75068.67
2024-01-04,Tablet,Electronics,Asia,Online,Small Business,83,1874.77,155605.91
2023-04-30,Desktop,Accessories,North America,Direct Sales,Corporate,17,167.09,2840.53
2023-02-11,Laptop,Mobile,Oceania,Retail Store,Enterprise,10,162.44,1624.4
2022-08-19,Smartphone,Wearables,Europe,Marketplace,Small Business,97,2036.61,197551.16999999998
2024-01-19,Tablet,Computers,Europe,Online,Corporate,13,1113.96,14481.48
2023-10-17,Smartphone,Accessories,Oceania,Marketplace,Consumer,91,885.89,80615.99
2022-06-20,Smartphone,Wearables,North America,Online,Small Business,12,1538.44,18461.28
2023-06-25,Smartwatch,Mobile,South America,Direct Sales,Consumer,66,1769.65,116796.90000000001
2022-02-05,Smartwatch,Wearables,Asia,Direct Sales,Consumer,74,542.94,40177.560000000005
2023-06-09,Tablet,Electronics,Africa,Wholesale,Corporate,85,504.31,42866.35
2022-06-09,Desktop,Electronics,Europe,Online,Home Office,23,2397.47,55141.81
2024-04-18,Tablet,Accessories,Oceania,Retail Store,Enterprise,65,1494.68,97154.2
2023-11-30,Desktop,Mobile,Africa,Direct Sales,Corporate,97,1005.79,97561.62999999999
2022-08-31,Smartphone,Mobile,North America,Wholesale,Small Business,52,2013.53,104703.56
2022-03-27,Laptop,Wearables,Africa,Direct Sales,Enterprise,61,1336.64,81535.04000000001
2024-03-06,Tablet,Accessories,Africa,Marketplace,Home Office,26,642.07,16693.82
2023-08-01,Tablet,Mobile,Asia,Direct Sales,Corporate,15,556.5,8347.5
2023-11-13,Desktop,Electronics,North America,Online,Home Office,22,1022.31,22490.82
2023-07-11,Smartphone,Wearables,Africa,Wholesale,Small Business,89,2156.74,191949.86
2023-07-28,Smartphone,Computers,Europe,Online,Corporate,65,200.55,13035.75
2024-08-10,Desktop,Electronics,North America,Retail Store,Small Business,26,585.39,15220.14
2023-10-08,Smartphone,Accessories,Europe,Retail Store,Enterprise,21,2238.22,47002.619999999995
2024-03-06,Smartwatch,Mobile,Oceania,Direct Sales,Enterprise,24,348.25,8358.0
2022-01-28,Laptop,Electronics,Oceania,Wholesale,Home Office,16,1592.58,25481.28
2023-09-12,Tablet,Computers,South America,Wholesale,Home Office,32,573.1,18339.2
2023-07-10,Laptop,Computers,Oceania,Wholesale,Enterprise,16,1534.37,24549.92
2022-12-06,Tablet,Accessories,Africa,Wholesale,Consumer,77,988.61,76122.97
2024-03-08,Smartwatch,Electronics,North America,Direct Sales,Enterprise,42,299.11,12562.62
2024-08-15,Smartphone,Wearables,Oceania,Online,Corporate,32,1477.06,47265.92
2022-11-27,Desktop,Electronics,Europe,Direct Sales,Small Business,50,1723.45,86172.5
2023-10-02,Smartwatch,Computers,Africa,Online,Enterprise,41,1716.67,70383.47
2023-05-21,Laptop,Accessories,Oceania,Marketplace,Enterprise,24,1610.73,38657.520000000004
2022-12-14,Desktop,Accessories,Asia,Marketplace,Small Business,13,1275.55,16582.149999999998
2023-04-18,Smartphone,Wearables,Europe,Online,Small Business,75,1322.71,99203.25
2022-08-19,Smartwatch,Accessories,Europe,Direct Sales,Corporate,79,1607.32,126978.28
2022-07-09,Desktop,Accessories,South America,Retail Store,Small Business,10,1741.14,17411.4
2022-08-13,Smartwatch,Accessories,Asia,Direct Sales,Home Office,42,1654.45,69486.90000000001
2023-01-20,Smartwatch,Accessories,South America,Retail Store,Enterprise,41,1488.02,61008.82
2023-01-12,Smartphone,Accessories,Oceania,Direct Sales,Small Business,3,431.81,1295.43
2022-10-10,Tablet,Computers,Asia,Wholesale,Corporate,55,566.01,31130.55
2024-08-15,Desktop,Electronics,Europe,Wholesale,Small Business,16,687.55,11000.8
2023-09-25,Smartphone,Mobile,South America,Marketplace,Enterprise,44,2303.17,101339.48000000001
2023-09-20,Smartwatch,Accessories,Africa,Marketplace,Consumer,81,1910.52,154752.12
2024-08-30,Smartphone,Mobile,Asia,Online,Small Business,89,1404.52,125002.28
2024-01-15,Tablet,Mobile,Europe,Retail Store,Home Office,30,667.54,20026.199999999997
2022-09-16,Desktop,Computers,North America,Wholesale,Enterprise,99,321.68,31846.32
2022-12-25,Tablet,Accessories,Asia,Direct Sales,Corporate,37,2251.96,83322.52
2023-12-11,Laptop,Mobile,Asia,Online,Enterprise,60,2237.03,134221.80000000002
2023-04-01,Desktop,Accessories,Oceania,Direct Sales,Consumer,77,321.2,24732.399999999998
2023-02-15,Tablet,Wearables,Africa,Wholesale,Corporate,24,2003.18,48076.32
2023-10-11,Smartwatch,Wearables,Oceania,Wholesale,Consumer,26,1144.28,29751.28
2022-11-14,Desktop,Wearables,Asia,Wholesale,Consumer,58,843.72,48935.76
2023-11-08,Desktop,Mobile,Asia,Wholesale,Home Office,9,1860.81,16747.29
2022-08-13,Smartphone,Wearables,Africa,Direct Sales,Small Business,61,1555.11,94861.70999999999
2024-03-29,Smartwatch,Computers,Africa,Online,Home Office,19,1961.07,37260.33
2022-08-22,Laptop,Computers,South America,Wholesale,Home Office,28,232.11,6499.08
2023-11-15,Tablet,Mobile,Europe,Marketplace,Home Office,7,830.54,5813.78
2023-10-26,Smartphone,Accessories,Europe,Online,Corporate,45,832.33,37454.85
2024-04-06,Tablet,Electronics,South America,Marketplace,Small Business,86,857.9,73779.4
2023-01-09,Laptop,Accessories,Europe,Direct Sales,Small Business,94,1281.08,120421.51999999999
2023-11-03,Laptop,Accessories,Asia,Wholesale,Corporate,63,743.38,46832.94
2023-08-31,Desktop,Accessories,South America,Online,Home Office,37,1138.74,42133.38
2023-04-17,Laptop,Accessories,South America,Wholesale,Home Office,16,951.06,15216.96
2022-08-21,Tablet,Electronics,Europe,Wholesale,Consumer,5,1851.48,9257.4
2023-11-23,Smartwatch,Wearables,North America,Online,Consumer,29,1528.58,44328.82
2022-04-23,Smartwatch,Accessories,Europe,Wholesale,Enterprise,52,1651.39,85872.28
2024-04-09,Desktop,Computers,Oceania,Wholesale,Consumer,23,565.93,13016.39
2023-05-12,Tablet,Mobile,North America,Retail Store,Small Business,6,847.48,5084.88
2023-03-18,Tablet,Mobile,South America,Retail Store,Corporate,36,101.86,3666.96
2023-07-18,Laptop,Computers,North America,Online,Home Office,57,315.52,17984.64
2022-09-25,Tablet,Accessories,Asia,Online,Enterprise,33,699.38,23079.54
2023-05-25,Smartphone,Electronics,Africa,Wholesale,Consumer,49,210.39,10309.109999999999
2024-03-17,Laptop,Wearables,North America,Marketplace,Enterprise,41,1526.45,62584.450000000004
2023-01-21,Smartphone,Mobile,Oceania,Online,Corporate,80,2495.42,199633.6
2023-01-22,Desktop,Wearables,Africa,Wholesale,Corporate,55,297.0,16335.0
2022-04-23,Smartwatch,Electronics,Asia,Marketplace,Enterprise,98,2062.01,202076.98
2023-09-05,Desktop,Mobile,Oceania,Retail Store,Enterprise,26,341.1,8868.6
2023-09-17,Smartwatch,Wearables,Africa,Online,Enterprise,37,1691.29,62577.729999999996
2024-08-09,Desktop,Electronics,Asia,Wholesale,Home Office,77,1625.74,125181.98
2022-03-22,Tablet,Wearables,Africa,Retail Store,Small Business,17,2261.66,38448.22
2023-11-30,Smartphone,Accessories,Africa,Direct Sales,Consumer,96,329.17,31600.32
2022-04-23,Smartwatch,Electronics,Europe,Retail Store,Consumer,32,822.84,26330.88
2022-01-02,Laptop,Wearables,Oceania,Wholesale,Consumer,28,272.41,7627.4800000000005
2023-10-04,Smartphone,Accessories,Oceania,Marketplace,Enterprise,93,1048.09,97472.37
2022-08-08,Laptop,Accessories,North America,Direct Sales,Enterprise,25,2283.4,57085.0
2023-07-20,Smartphone,Electronics,Oceania,Direct Sales,Enterprise,47,1964.73,92342.31
2024-05-04,Smartphone,Computers,Oceania,Direct Sales,Home Office,22,1821.11,40064.42
2024-01-06,Desktop,Mobile,Africa,Online,Home Office,91,1355.92,123388.72
2022-08-13,Smartwatch,Electronics,South America,Wholesale,Home Office,61,2214.54,135086.94
2023-01-20,Smartwatch,Accessories,Europe,Direct Sales,Home Office,44,1151.13,50649.72
2023-02-07,Smartphone,Accessories,North America,Retail Store,Corporate,20,416.73,8334.6
2023-09-30,Tablet,Electronics,Europe,Marketplace,Home Office,50,2102.08,105104.0
2022-05-10,Tablet,Computers,North America,Wholesale,Home Office,88,735.11,64689.68
2022-02-22,Laptop,Mobile,Asia,Retail Store,Home Office,47,181.4,8525.800000000001
2023-11-15,Laptop,Wearables,Africa,Online,Consumer,47,358.79,16863.13
2023-12-31,Desktop,Electronics,Oceania,Direct Sales,Consumer,72,1542.19,111037.68000000001
2023-11-03,Smartphone,Mobile,Oceania,Retail Store,Consumer,51,1537.35,78404.84999999999
2023-12-11,Laptop,Mobile,South America,Wholesale,Small Business,55,687.45,37809.75
2023-02-20,Laptop,Accessories,Europe,Retail Store,Corporate,78,1831.59,142864.02
2022-09-04,Smartphone,Wearables,Europe,Online,Enterprise,39,1945.42,75871.38
2024-04-15,Desktop,Electronics,Europe,Marketplace,Home Office,14,2305.23,32273.22
2023-03-15,Laptop,Accessories,Oceania,Direct Sales,Consumer,69,1483.1,102333.9
2022-07-22,Desktop,Accessories,Europe,Wholesale,Corporate,47,1959.59,92100.73
2022-07-03,Smartwatch,Computers,Africa,Direct Sales,Home Office,21,1895.09,39796.89
2022-05-03,Desktop,Mobile,North America,Direct Sales,Small Business,15,681.63,10224.45
2023-02-05,Tablet,Electronics,Oceania,Direct Sales,Enterprise,97,810.05,78574.84999999999
2024-02-06,Tablet,Electronics,Africa,Retail Store,Home Office,81,1222.28,99004.68
2022-10-21,Desktop,Electronics,Asia,Retail Store,Enterprise,84,96.65,8118.6
2022-10-07,Tablet,Accessories,Africa,Marketplace,Home Office,1,778.62,778.62
2024-04-16,Smartwatch,Computers,Africa,Online,Small Business,80,1211.01,96880.8
2024-06-02,Smartphone,Wearables,Asia,Wholesale,Corporate,82,314.77,25811.14
2023-09-02,Tablet,Accessories,Africa,Retail Store,Enterprise,10,359.38,3593.8
2022-07-17,Tablet,Wearables,North America,Direct Sales,Enterprise,23,1184.93,27253.390000000003
2024-06-25,Desktop,Computers,Oceania,Online,Corporate,18,1840.86,33135.479999999996
2023-05-26,Smartwatch,Mobile,South America,Wholesale,Enterprise,58,2092.68,121375.43999999999
